Username,Total Mobs Killed,ALLAY,ARMADILLO,AXOLOTL,BAT,BEE,BLAZE,BOGGED,BREEZE,CAMEL,CAMEL_HUSK,CAT,CAVE_SPIDER,CHICKEN,COD,COPPER_GOLEM,COW,CREAKING,CREEPER,DOLPHIN,DONKEY,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,EVOKER,FOX,FROG,GHAST,GLOW_SQUID,GOAT,GUARDIAN,HAPPY_GHAST,HOGLIN,HORSE,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,MOOSHROOM,MULE,NAUTILUS,OCELOT,PANDA,PARCHED,PARROT,PHANTOM,PIG,PIGLIN,PIGLIN_BRUTE,PILLAGER,POLAR_BEAR,PUFFERFISH,RABBIT,RAVAGER,SALMON,SHEEP,SHULKER,SILVERFISH,SKELETON,SKELETON_HORSE,SLIME,SNIFFER,SNOW_GOLEM,SPIDER,SQUID,STRAY,STRIDER,TADPOLE,TRADER_LLAMA,TROPICAL_FISH,TURTLE,VEX,VILLAGER,VINDICATOR,WANDERING_TRADER,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOGLIN,ZOMBIE,ZOMBIE_HORSE,ZOMBIE_NAUTILUS,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
RyanG2606,3567,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,10,0,9,0,0,4,0,0,3286,0,0,0,0,0,0,0,0,0,0,0,9,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,93,4,17,0,0,0,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,26,2,0,41,0,0,2,5
ZPlusBlake,2773,0,5,0,0,0,2,0,5,0,0,0,17,10,0,0,26,0,66,0,0,104,0,0,1306,1,0,0,0,4,0,0,0,0,3,1,5,6,1,181,0,0,0,0,0,0,0,0,14,51,0,28,0,0,2,0,0,0,0,0,209,0,298,0,0,108,0,29,0,0,5,0,0,0,1,3,2,0,6,0,9,0,0,254,0,0,4,7
PingPongBoi5731,755,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,74,0,41,0,0,21,0,0,2,0,0,1,0,1,1,0,0,0,0,5,3,0,0,130,0,0,0,0,0,0,0,0,11,7,0,4,0,0,1,0,0,18,0,0,104,0,8,0,0,43,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,257,0,0,5,2
TheTrashRat7528,1204,0,0,0,0,0,0,22,16,0,0,0,6,28,0,0,20,0,42,0,0,21,0,0,81,0,0,0,0,2,1,0,0,0,2,0,25,0,0,12,0,0,0,0,0,0,0,0,28,6,0,1,0,0,0,0,0,33,6,103,236,0,53,0,0,92,13,2,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,332,0,0,10,0
MouthBreather,5796,0,1,0,0,0,0,44,15,0,0,0,19,1,0,0,3,0,8,0,0,7,0,0,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,825,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,0,0
PuppygirlSephie,613,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,8,0,5,0,0,4,0,0,186,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0,7,0,0,0,0,0,53,4,0,43,0,7,0,0,16,14,0,0,0,3,0,0,0,0,0,2,0,1,0,0,4,0,219,0,0,4,0
GoblinGumbo,593,0,5,0,0,1,9,0,0,3,0,3,0,3,0,0,38,0,104,1,1,1,0,0,2,0,0,0,0,1,1,0,0,0,1,8,77,3,0,85,0,0,0,0,0,0,0,0,10,7,0,10,1,0,22,0,4,3,0,0,46,0,0,0,0,50,5,1,1,0,5,0,0,0,10,0,4,0,2,0,4,0,0,61,0,0,0,0
Valdaya,801,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,24,0,13,0,0,2,0,0,529,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,28,2,23,0,0,15,3,0,0,0,11,0,0,0,0,0,6,0,1,0,0,0,0,104,0,0,1,1
Phoenix24k,3170,0,0,0,3,0,0,2,0,0,8,0,2,3,0,0,13,0,81,0,0,21,0,0,7,0,0,0,0,1,9,0,0,0,1,1,139,0,0,6,0,0,0,0,0,39,0,0,5,0,0,49,0,0,6,0,0,1,55,0,139,0,0,0,0,2332,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,223,0,1,1,0
spartan2744,623,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,5,0,14,0,0,1,0,0,2,0,3,0,1,0,3,0,0,0,5,0,6,0,2,4,0,0,0,0,0,0,0,0,8,9,0,26,0,0,0,5,0,4,0,9,77,0,215,0,0,15,1,0,0,0,3,0,0,7,0,12,1,0,3,0,0,0,0,171,0,0,7,0
MandyBias,9637,2,8,0,0,0,0,0,0,0,0,0,3,11,0,0,62,0,40,0,0,52,0,0,8686,5,0,5,0,2,0,0,0,0,0,0,8,16,0,52,0,0,0,0,2,0,3,0,32,0,0,24,0,2,2,0,1,38,0,0,77,0,46,0,0,49,232,0,0,0,4,0,0,0,7,0,1,0,2,0,0,0,0,156,0,0,3,4
Adumu,2051,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,122,0,13,0,0,3,0,0,1581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,0,0,82,0,8,0,0,31,0,0,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,161,0,0,3,4
SharkyChompa,1431,0,0,0,0,0,0,0,0,0,0,0,18,37,0,0,17,0,68,0,0,4,0,0,565,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23,9,0,2,0,0,2,0,0,31,0,0,185,0,42,0,0,57,3,4,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,337,0,0,7,0
kiQubits_,9647,0,0,0,0,0,53,0,0,0,0,0,0,38,0,0,14,0,1744,0,0,8,0,1,2443,1,0,0,0,7,4,0,0,0,26,0,13,0,0,129,0,0,0,0,0,0,0,0,10,33,0,0,0,1,31,0,0,6,34,7,1882,0,5,0,0,1049,3,0,0,0,0,0,0,0,0,0,0,0,29,0,23,0,0,2028,0,0,23,2
Velvind,6526,0,0,0,1,0,10,0,0,0,0,0,13,4,0,0,13,1,24,0,0,5,0,0,6058,1,0,0,0,0,6,0,0,0,6,6,0,0,0,21,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,10,0,0,85,0,14,0,0,38,4,0,0,0,0,0,0,0,0,0,0,0,3,0,36,0,0,152,0,0,4,2
Spork7,2532,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,2,0,0,1,0,0,2402,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,30,0,19,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,2,0
somesparethyme,980,0,0,0,0,0,0,44,9,0,0,0,5,111,0,0,36,0,52,0,0,15,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,32,0,1,103,0,184,0,0,96,24,90,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,145,0,0,2,0
__s_o_r_a__,2428,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,20,0,50,0,0,311,0,0,1607,1,0,0,0,5,4,5,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,14,3,0,106,0,2,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,204,0,0,5,9
cynnq,6394,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,56,0,16,0,0,0,0,0,5864,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,134,0,1,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,247,0,0,4,7
schildkrote_,3238,0,8,0,0,0,0,0,0,1,0,0,9,95,0,0,37,0,30,0,0,2,0,0,2555,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,67,0,0,3,0,0,1,0,1,45,0,3,105,0,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,0,0,2,4
limn_,1298,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,115,0,110,0,0,2,0,0,92,0,0,0,0,1,2,0,0,0,2,0,0,2,0,25,0,0,0,0,0,0,0,0,26,10,5,1,0,0,0,0,0,75,65,0,156,0,294,0,0,23,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,253,0,0,6,4
ShadowSplinter21,1156,0,0,0,0,0,1,17,6,0,0,0,2,53,0,0,37,0,20,0,0,30,0,0,187,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,82,0,0,0,0,3,5,0,0,41,0,4,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,1,1
mossdryad,311,0,0,0,0,0,0,18,5,0,0,0,0,11,2,0,5,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,0,0,15,0,104,0,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,3
blue691312,2038,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,54,0,0,0,0,1,0,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,7
jamesparkin,289,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,18,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,45,0,0,0,0,0,0,0,0,21,2,0,3,4,0,0,0,0,5,28,0,43,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,76,0,0,0,0
BlueIloveblu,2104,0,0,0,0,0,2,5,5,0,0,0,17,1,0,0,46,0,546,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,597,0,139,0,0,43,21,23,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,593,0,0,13,7
