,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
227,__s_o_r_a__,True,0.0,0.0,"14,999,556",,,"5,857,158",,,,"63,515","132,764",,"7,002","122,901",,,371,"24,230",17,303,,29,"476,625",4,,"3,555,559",,,5,,,60,8,1,12,,1,215,274,2,3,,20,,,"26,025",68,"48,895","2,470",,297,"1,602",188,103,,,,,,,,39,"47,274","7,087,566",,"775,089",19,,"119,483","24,883","4,336,744",,2,,6,"524,414","14,869,015","449,732"
228,cynnq,True,0.0,0.0,"12,703,702",61,1,"978,640",,,,"264,615","437,312",60,"24,424","100,316",,,165,"67,406",76,473,1,1,"1,627,140",,,"10,098,068","5,848,671",,,11,1,58,,2,,,,434,155,,25,,3,2,63,"54,003",61,,"6,420",,380,"1,314",305,811,,14,,,,,,94,"185,192","6,732,653",,"211,095",65,,"101,552","8,157","4,318,569",6,1,60,10,"367,082","9,610,289","538,303"
229,schildkrote_,True,0.0,0.0,"13,641,731",120,7,"8,532,780",,,,"40,637","147,748",251,"2,868","110,436",,,574,"35,541",14,149,,6,"831,769",1,,"10,196,563","3,153,864","4,437",55,,31,42,19,,,,,157,567,2,7,,2,2,1,"45,932",84,,"3,328",,373,"1,616",217,149,,,,,25,,,38,"57,821","8,025,912",,"28,553",53,,"2,438,816","3,178","4,276,564",2,1,,,"423,824","9,475,458","662,849"
230,limn_,True,0.0,1.0,"8,353,125",307,7,"1,844,274",,,,"153,111","769,861",,"17,486","147,372",,,823,"36,381",31,"1,349",,6,"791,992",,2,"5,247,656",,,248,41,479,63,35,19,8,,,786,289,,8,,21,27,3,"38,387",35,"12,314","1,355",,"1,049","2,598",599,"2,198",,,1,,,,,84,"246,203","6,231,551",,"808,733",865,,"152,331","6,839","4,253,827",613,,,,"232,525","10,821,069","445,298"
232,ShadowSplinter21,True,0.0,0.0,"7,657,953",89,,"2,433,586",,,,"56,273","681,217",,"13,756","75,434",,,18,"13,042",7,519,,12,"380,392",3,,"2,520,207","988,483",,6,,12,28,4,48,,,1,386,141,2,2,,10,47,13,"20,388",37,,"1,197",,317,"3,572",96,510,,,3,,2,,,51,"155,052","8,837,867",,"374,029",7,,"2,482,195","5,845","4,227,069",,,31,,"257,117","13,182,460","1,290,997"
235,mossdryad,True,0.0,2.0,"45,719,046",,,"2,323,624",,,,"114,570","887,051",300,285,"19,276",65,,63,"24,047",18,685,,25,"602,580",,,"3,748,069","19,073,536",,8,,,27,,1,247,,,186,114,,19,,8,2,,"27,370",90,"28,490",346,,468,944,356,"1,594","184,258",,,3,,,,87,"392,778","7,876,864",,"5,300,627",19,,"286,640","41,263","4,096,172",,,7,,"397,448","10,614,541","3,326,480"
237,blue691312,True,0.0,0.0,"6,138,364",1,,"2,979,401",,,,"118,506","199,855",,"7,168","28,669",,,908,"20,008",27,422,,21,"462,747",,392,"2,631,472","207,396","3,868",,,5,25,,6,6,,,83,90,17,12,,11,,,"18,831",50,,"2,041","1,836",361,417,87,889,"75,075",,4,5,,,,58,"132,490","5,021,310",,"424,857",40,,"31,866","31,898","4,015,044",194,8,,,"164,696","5,882,563","282,328"
241,jamesparkin,True,1.0,1.0,"20,457,455",,,"4,293,641",,,,"395,670","2,108,769",,"19,028","50,154",,,"3,641","566,581",469,422,,14,"6,771,127",,,"6,274,793","62,721","9,984",3,1,4,7,6,11,,,1,159,101,13,16,,,6,2,"37,619",58,"10,666",291,,262,994,320,612,,1,37,3,,,,15,"430,876","5,381,000",,"250,513",42,,"1,325,528","7,085","3,852,031",135,,31,,"206,845","6,698,675","166,072"
243,BlueIloveblu,True,0.0,0.0,"16,191,921",90,,"407,614",,,,"120,711","1,387,240",20,,"143,440",,,365,"28,950",11,481,,62,"1,078,207",,,"5,378,523","9,880,932","4,203",14,76,122,30,13,95,11,4,,322,114,33,5,,4,5,3,"32,166",31,,"2,183",,406,"2,717",214,666,,2,1,,,,,14,"223,553","3,451,226",,"641,824",53,,"2,244,477","17,221","3,793,606",18,,3,54,"495,676","8,334,927","833,269"
245,ghhosty,True,0.0,2.0,"3,027,116",40,,"255,594",,,,"402,062","1,259,666",,,"67,095",,,19,"10,078",3,121,,26,"798,037",,,"8,308,545",,,1,,2,14,,,,,,337,238,14,12,,2,1,123,"40,727",29,,499,,422,"1,360",67,724,,,1,,,,,101,"343,505","6,566,393",,"610,910",3,,"3,121,586","6,839","3,745,142",,,,,"908,232","10,602,948","419,653"
247,DocIsTheName,True,0.0,7.0,"517,695",,,"29,971",,,,"1,882","71,718",,,"5,167",,,244,"4,941",4,263,,,"64,973",,,"2,105,554",,"5,412",307,60,,1,,,,,,2,,,44,166,,,,"4,262",45,,20,,29,"3,602",2,208,,,,,,,,,"23,041","990,932",,,,,"350,562","350,611","3,697,896",,2,1,,"8,114","1,934,833","9,061"
249,figsock,True,0.0,5.0,"11,819,550",26,1,"3,493,556",,,,"68,860","584,415",,"13,076","95,321",,,58,"21,646",8,513,,41,"857,534",,66,"5,071,566","489,454","72,651",9,1,42,34,1,142,4,,,319,322,29,9,8,6,,16,"33,455",34,,"3,105",,872,"1,938",48,513,,,10,1,9,,,86,"172,253","6,981,859",,"292,720",81,,"1,628,125","6,895","3,676,276",366,1,193,16,"203,279","8,426,044","206,315"
250,_xXMCSM2026Xx_,True,0.0,0.0,"20,855,651",190,,"7,906,595",,,,"25,553","438,724",,"24,550","155,798",,,201,"27,547",1,103,,89,"1,691,572",,824,"9,120,948",,"254,051",13,,20,29,2,,1,,,306,213,60,28,,1,74,,"49,580",55,,"4,662",,862,"2,622",127,849,,874,30,,,,,63,"134,730","5,182,163",,"126,492",2,,"1,006,064","99,333","3,662,443",,1,771,,"147,574","8,561,327","135,873"
252,Ash__003,True,0.0,0.0,"22,424,214",1,,"1,621,879",,,,"93,160","518,986",40,"26,350","220,717",,,733,"55,292",36,671,,2,"1,708,322",,110,"8,642,477","48,826","37,300",83,10,10,32,3,28,1,,2,214,163,7,11,,7,,45,"44,526",36,,"3,362",,"1,247","2,336",109,"1,392",,1,1,2,1,,,47,"177,309","8,500,064",,"406,107",550,,"158,900","6,629","3,371,911",654,,14,,"208,252","5,945,229","338,927"
253,thewildkindness,True,0.0,0.0,"24,855,862",,,"1,538,485",,,,"49,157","277,003",96,894,"64,475",,,333,"40,437",27,443,1,11,"1,495,249",,,"9,148,998","64,833","18,000",1,,1,24,9,6,,,,110,68,,15,2,10,,,"43,319",85,,"3,887",,469,825,64,394,"309,159,824",,19,1,2,,,11,"78,164","9,661,756",,"1,167,779",14,,"133,004","23,086","3,369,568",,,49,,"336,669","5,452,159","309,036"
261,kashkdot,True,0.0,3.0,"23,413,230",2,6,"6,201",,,,"32,139","1,241,994",220,,"181,479",,,"1,934","35,743",1,420,,,"1,233,491",2,,"7,495,867","530,256","10,830",,1,807,25,25,105,,,,109,"1,019",1,29,,10,43,,"39,807",24,"12,514","3,438",,545,"1,361",275,"3,048",,,2,,,1,1,15,"191,304","8,537,698",,"776,095",8,,"3,071,259","11,874","3,074,231",,4,9,448,"306,499","3,129,027","430,724"
264,MrChip04,True,0.0,1.0,"33,043,724",6,1,"524,737",,,,"21,295","783,849",,"2,644","70,328",,,708,"21,265",3,420,,3,"699,168",,,"3,463,827",,,,,4,31,,,,,,236,171,4,44,,5,,51,"21,850",82,"31,254","2,527",,372,"1,273",257,"1,629",,,,,,,,83,"189,532","5,619,686",,"151,247",20,,"1,309,895","43,391","2,900,443",,,33,,"163,288","4,566,814","106,776"
269,fangmincrft,True,0.0,0.0,"52,485,817",12,,"1,626,470",,,,"70,697","143,925",,"11,993","53,995",,,,"29,981",41,293,14,16,"541,347",,294,"5,321,349",,,,,1,46,24,54,1,,,274,232,16,4,,2,24,8,"25,238",51,,"4,858",,326,"1,348",186,98,,,,,,,,110,"78,085","4,278,301",,"628,758",6,,"571,726","18,121","2,677,962",,5,,,"536,888","5,430,130","321,577"
271,retep_ih,True,0.0,1.0,"15,907,412",,,"512,172",,,,"71,181","413,396",,"5,726","78,409",,,367,"223,663",289,549,2,234,"2,796,210",1,,"9,176,746",,,2,14,2,29,,32,,,,174,172,204,3,3,8,35,,"42,706",39,,"9,331",,458,147,339,503,,,,,,,,17,"85,224","3,742,077",,"1,269,794",,,"1,630,177","194,951","2,607,461",,7,15,,"517,237","3,481,760","1,348,395"
272,DeloGateau,True,0.0,0.0,"768,435",,,"1,445,537",,,,"62,989","101,326",,"54,972","34,725",,,,"19,863",31,15,,,"256,822",,,"2,575,880",,,,,,,,,,,,169,315,,,,,,22,"17,299",21,,186,,18,"1,096",,82,,,,,,,,48,"67,307","2,310,413",,"36,831",1,,"22,136",148,"2,606,189",,,,,"194,832","13,717,518","102,585"
273,AnnikaBell,True,0.0,5.0,"5,758,563",,1,"403,235",,,,"93,412","88,272",,"2,820","20,154",,,184,"13,406",11,154,,3,"307,047",3,,"957,396",,,,43,100,9,,66,,,,168,198,,9,,,1,31,"13,003",42,,809,,158,"1,346",68,"1,037",,2,,,15,,,100,"30,424","8,272,066",,"64,011",2,,"713,406","10,365","2,577,431",,1,184,,"96,472","7,230,291","52,446"
275,TheGeneral4430,True,0.0,1.0,"12,673,690",,6,"812,993",,,,"199,023","246,489",,,"51,250",,,443,"25,766",17,386,,,"1,130,158",,186,"5,393,957","668,071",,1,6,,37,2,,3,,,294,176,9,11,15,12,1,25,"29,389",27,,333,"6,696",504,"2,088",208,"2,177",,8,5,5,,,,29,"79,072","3,610,562",,"124,300",493,,"1,222,269","8,466","2,566,893",67,3,14,,"101,261","6,066,659","66,540"
276,pers3uss,True,0.0,0.0,"11,046,709",15,,"548,144",,,,"24,752","957,174",,"7,876","126,460",,,86,"19,019",6,842,,,"852,228",,52,"5,035,256","2,851,023","112,956",3,4,4,38,2,,,,1,234,174,,5,,,,49,"27,711",33,"5,372","1,324",,311,"1,221",147,"1,451","203,497,959",,,,,,,52,"203,184","3,888,206",,"120,428",1,,"247,905","14,413","2,541,333",,1,4,,"110,793","5,924,969","84,961"
280,ByTomyXx,True,0.0,1.0,"19,349,619",,,"804,744",,,,"39,560","614,327",102,,"149,739",,,176,"31,111",1,382,,39,"883,386",,,"4,446,422",,,9,11,52,35,5,26,1,,,181,58,26,59,,3,20,3,"24,275",29,,"2,140",,823,"1,270",286,692,,1,,,,,,47,"132,026","5,027,159",,"190,861",225,,"2,234,573","21,434","2,502,469",300,1,10,,"66,402","2,628,163","153,508"
291,Kickpunchy,True,0.0,0.0,"13,643,330",,,"907,400",,,,263,"1,557,972",81,"4,984","85,111",,,68,"12,920",5,127,,,"310,885",,,"1,044,708",,,,,15,39,,,,,,74,80,3,7,,,,3,"12,970",19,,"1,781",,281,188,86,305,,,,,,,,11,"471,818","4,433,257",,"769,708",190,,"1,841,216","30,067","2,303,031",197,,,,"316,216","4,439,374","295,066"
292,Galaxial,True,0.0,0.0,"4,773,143",2,,"3,238,514",,,,"11,418","26,609",,"30,826","30,505",,,50,"33,532",43,225,,,"853,946",,,"4,456,849","8,914,181",,,5,,,,10,,,,132,115,,13,,,5,,"28,539",51,,158,,328,962,105,253,,,,,,,,32,"19,215","2,694,951",,"61,132",4,,"102,108","8,732","2,301,124",,1,,,"157,846","6,631,490","97,162"
294,Glassbot,True,0.0,1.0,"12,923,037",,9,"542,387",,,,"140,416","324,779",158,"8,502","164,028",4,,164,"32,404",9,369,,68,"678,720",,2,"4,984,029","1,555,844","16,269",25,,1,49,,25,8,10,,202,142,40,4,,15,9,8,"26,313",26,,"1,090",,"1,241",524,107,343,,,12,,26,,,9,"128,675","5,742,853",860,"255,863",6,,"1,000,534",169,"2,267,716",,,2,,"136,769","4,568,283","127,624"
299,Euros_,True,0.0,0.0,"16,535,293",,,"128,090",,,,"4,039","247,941",,"4,930","48,222",,,"1,243","23,819",8,321,,,"818,648",,8,"3,937,644",,,3,25,1,40,3,,,,2,221,57,,18,1,3,,35,"21,798",92,,"2,578",,399,"1,638",208,"1,286",,57,1,2,1,,,53,"58,609","5,658,621",148,"92,828",3,,"107,603","18,795","2,191,057",,,,,"113,214","4,560,397","68,866"
302,jolkvolk666,True,0.0,0.0,,,,"2,049,385",,,,"2,240","16,943",,"6,954","70,253",,,,"8,303",14,22,,,"84,963",,,"436,661",,,,,131,,,,,,,123,222,3,,,,,,"6,104",16,"153,131",654,,5,581,,6,,,,,,,,13,"7,891","1,415,151",,"174,528",1,,"678,258","11,090","2,156,745",,,,,"116,765","3,188,340","100,404"
304,_girlfailure,True,0.0,0.0,"20,113,320",2,,"202,198",,,,"16,924","230,205",41,765,"44,776",,,22,"10,677",2,265,,28,"325,669",,,"2,473,341",,"6,750",28,,29,42,,6,1,,,154,159,29,11,,4,6,,"11,239",44,"30,077","3,779",,196,714,106,398,,,,,,,,29,"65,756","2,979,420",,"28,452",79,,"377,444","9,042","2,118,861",119,4,,,"31,720","961,945","15,677"
305,Rebyata,True,0.0,0.0,,,,"6,497,485",,,,"163,218","189,140",180,"1,350","88,903",,,126,"31,359",19,397,,,"900,324",,,"7,539,708",,5,3,,,49,,1,,,,143,36,2,11,1,,3,,"30,191",13,,585,,149,653,18,115,,,,2,,,,21,"71,757","2,700,887",,"908,711",12,,"692,408","11,618","2,102,594",,,70,,"842,164","4,198,997","175,783"
313,BiohazardBesi,True,0.0,0.0,,,,,,,,"16,560","2,491",,976,"8,000",,,8,"14,126",44,461,,,"158,127",,7,"265,761",,,,,,,,,,,,228,138,5,,,,,,"12,141",14,,45,,7,237,6,97,,,,,,,,97,"1,281","2,251,825",,"345,722",,,"19,598","19,500","1,997,170",,,,,"376,504","6,704,060","138,992"
314,Dafndil,True,0.0,0.0,"1,101,326",,,"551,846",,,,"22,766","163,756",,330,"4,282",,,213,"10,891",11,235,,,"473,390",,35,"7,619,556",,,,13,,7,,1,,,1,11,5,,15,,,1,,"26,578",40,,26,,224,84,189,322,,,,2,,,,2,"74,109","5,328,070",,"127,639",2,,"35,505","28,630","1,978,428",,,3,,"49,928","3,869,966","87,196"
316,MAGICBUTTER87,True,0.0,0.0,"15,654,082",,,"2,806,251",,,,"78,175","105,333",,"52,304","70,266",,,183,"17,542",9,259,,45,"515,972",,42,"3,539,944",,"966,589",8,11,1,32,,24,1,,,263,207,35,6,2,2,16,8,"18,686",34,,423,,337,839,12,56,,,6,,,,,21,"54,152","2,617,159",,"381,407",7,,"18,278","18,497","1,940,965",,,6,,"305,056","5,140,742","327,584"
317,calamythe,True,0.0,2.0,"6,864,030",,,"320,016",,,,"21,043","199,229",25,50,"27,138",,,32,"15,992",10,758,,1,"345,495",1,14,"4,454,535","14,820,082",,,,,30,,21,,,,247,109,1,6,,1,23,,"15,780",35,,178,,191,713,29,200,"8,335,948",,,,,,,49,"79,169","3,912,399",,"167,889",,,"328,349","5,973","1,907,317",,,,,"137,676","2,725,361","65,417"
320,Th3Kiji,True,0.0,0.0,"3,037,325",8,,"2,907,511",,,,"190,555","499,760",40,"2,187","79,005",,16,316,"11,892",4,165,,70,"1,340,600",,,"6,792,031",,"51,413",16,,20,20,,1,38,,,132,89,62,,,7,,41,"32,737",54,19,"6,208",,107,954,18,171,,,,,,,,3,"128,867","2,959,090",,"282,664",137,,"1,102,125","229,916","1,878,673",230,4,,,"238,748","5,172,909","325,020"
322,alivepenguin01,True,0.0,0.0,"53,561,019",,,,,,,"11,280","428,498",809,"6,626","56,617",,,676,"79,574",35,473,,,"1,233,128",,,"1,215,075","277,931","2,232",,,1,43,3,5,2,,,77,7,,21,,7,,,"10,151",42,,629,,229,548,244,680,,,,1,4,,,14,"107,922","1,564,700",,"498,206",1,,"302,012","6,831","1,864,652",,,,,"205,367","2,904,221","500,456"
323,CloakedOkami,True,0.0,8.0,"19,240,826",,,"1,670,352",,,,"73,752","392,882",,"18,174","60,582",110,,2,"15,282",7,193,,,"1,179,493",,12,"9,429,060",,,12,,,3,1,1,,,,219,232,,2,,5,,,"42,044",33,,400,,144,"1,179",6,701,,3,,2,3,,,45,"92,043","4,990,393",,"308,088",4,,"870,168","3,018","1,853,363",,,4,,"84,156","3,964,493","50,736"
326,Tomattoe,True,0.0,0.0,"4,379,861",1,,"1,189,697",,,,"28,727","300,543",80,80,"19,088",,,16,"8,383",4,113,,56,"250,415",,,"1,680,066",,"3,435",23,7,86,9,,,2,,,145,26,43,5,,,,3,"10,061",17,,98,,248,"1,110",52,191,,,2,,,1,,19,"78,547","2,808,208",,"23,574",147,,"516,863","1,016","1,820,785",458,,,,"58,518","3,420,149","30,139"
327,Chained_Pickle,True,0.0,2.0,,42,35,"2,032,699",,,,"155,993","23,860",40,,"52,680",,,6,"40,530",88,106,,,"516,627",,,"3,096,685",,,,2,,3,,35,,,,180,71,,11,,,25,,"21,936",12,,270,,188,420,25,38,,,,,,,,7,"10,134","3,817,867",,"86,206",4,,"17,354","13,422","1,812,364",,,,,"268,360","9,660,561","191,271"
328,vacantgrimm,True,0.0,4.0,,77,,"1,449,058",,,,"175,045","231,095",,"15,604","47,390",,,6,"5,403",6,99,,15,"110,080",,45,"838,590",,,,,3,19,,,,,,187,75,,,,,,,"7,110",22,,"1,932","8,971",5,811,3,141,,,,,,,,14,"86,358","899,862",,"96,709",,,"81,922","2,567","1,808,917",,,4,,"298,945","3,985,299","125,926"
330,NotBranch,True,0.0,0.0,"24,261,593",,,"821,697",,,,"18,575","350,046",40,"4,122","39,414",159,,70,"15,266",7,212,,,"794,825",,,"6,272,854",,,3,1,3,34,2,,,,,136,85,,24,,5,1,,"25,806",38,,212,,677,742,29,635,,,,,1,,,34,"106,248","4,228,472",,"212,097",32,,"317,362","3,018","1,769,955",256,,10,,"64,148","2,331,411","68,126"
331,yapper97,True,0.0,0.0,"357,340",,,"34,225",,,,"14,329",952,90,,"3,621",34,,28,"7,635",9,175,,,"140,772",,41,"126,875","22,572","75,040",,1,,4,,4,,,,77,41,,,,,,,"4,723",8,,18,,3,165,,35,"150,864",,16,1,,,,11,"1,205","937,749",,"1,428",1,,"272,312","25,368","1,734,729",,,,,"80,300","3,576,020","109,070"
335,pavvoz,True,0.0,0.0,"5,796,998",,,"360,552",,,,"18,483","142,526",,"2,712","16,808",,,"1,440","6,129",6,203,,,"275,964",,,"2,701,324",,,,1,,,,,,,,77,137,1,13,1,1,,5,"12,466",24,,94,,360,450,15,76,,,,,,,,16,"55,199","2,591,119",,"433,670",,,"1,373,601","18,229","1,723,053",,,10,,"57,034","1,488,856","45,953"
338,grayMatter94,True,0.0,0.0,,88,,"1,095,028",,,,"2,346","73,751",,,"16,114",,,,"2,523",1,210,,6,"43,936",,,"78,635",,957,,,,6,,,,,1,187,450,,1,,,,,"5,772",26,,140,,15,574,72,2,,,,,,,,31,"34,716","1,057,536",,,7,,"1,632,955","35,327","1,698,002",,,,,"132,916","7,167,631","59,245"
340,Shark1443,True,0.0,3.0,"32,566,860",,,"1,065,376",,,,"87,097","925,989",81,,"65,130",,,"1,651","50,040",30,"1,037",,20,"1,344,954",,,"4,538,482","707,893",,7,,1,18,,,,,,47,5,18,18,,11,,1,"21,786",85,"9,425",392,,612,137,117,631,,,,6,,,,6,"174,298","3,352,379",,"168,273",,,"57,356","7,565","1,671,056",,,34,,"103,964","2,811,765","133,414"
341,kryog,True,0.0,0.0,,25,,"215,654",,,,"6,840","131,705",,"5,280","17,468",,,20,"6,553",5,56,,,"252,045",1,22,"1,746,574",,,11,,,,,,,,,163,37,,,,,,,"9,844",11,,128,,180,167,3,48,,,2,,,,,6,"37,599","1,271,873",,"112,270",4,,"244,669","7,823","1,671,046",,,,,"52,172","4,113,247","37,148"
350,StarAura,True,0.0,0.0,"10,501,465",,,"82,738",,,,"10,618","548,819",25,"7,626","30,632",,,,"10,186",1,195,,13,"503,989",,,"3,660,228",,672,1,,,11,,,,,,148,152,9,7,,1,,5,"19,890",15,"11,105",167,,340,412,103,59,,,,,10,,,31,"127,842","2,135,001",,"76,018",1,,"1,539,065","45,745","1,583,305",,1,,,"52,873","1,818,300","30,632"
358,AKAgladiator_1,True,0.0,0.0,"5,825,615",2,,"370,076",,,,"36,838","341,951",,,"35,310",,,674,"23,615",20,421,,73,"346,558",,,"2,351,787",,"206,170",,1,4,10,16,518,1,,,94,196,64,5,,6,8,,"15,037",16,,"6,792",,262,285,56,155,,,,1,,,,4,"117,556","1,731,132",,"261,042",10,,"275,586","177,906","1,509,528",12,1,44,,"101,987","4,710,745","437,816"
359,Flick,True,0.0,0.0,"2,502,900",,,"524,285",,,,"15,626","141,909",,"7,242","56,297",,,31,"3,759",1,103,,,"380,153",,,"3,799,466","10,080","76,966",6,2,2,4,,,,,,21,7,,7,,5,,,"17,407",15,"38,725",441,,425,382,75,101,,67,36,,,,,9,"54,082","3,650,044",,"165,004",,,"1,153,869","147,284","1,482,321",,,,,"176,787","2,714,908","86,493"
363,dreamy_sapphire,True,0.0,0.0,,95,1,"1,857,040",,,,"12,452","72,975",,"10,564","66,066",,,18,"13,014",14,110,,7,"472,518",,,"2,417,331",,,,,,,,45,,,,138,97,2,4,,,18,12,"14,936",21,,589,,35,459,,56,,,,,,,,8,"22,606","2,739,638",,"238,057",17,,"137,580","17,792","1,398,677",1,,,,"214,829","2,055,046","47,965"
364,JungleSystem,True,0.0,1.0,"3,984,135",,,"529,720",,,,"28,002","284,149",,"8,644","104,890",,,197,"10,053",4,359,,,"800,633",,,"6,060,770",,,,,,29,,2,,,,72,135,,5,,2,,13,"28,577",33,,668,,49,69,5,99,,,,,,,,14,"70,536","5,206,767",,"765,899",,,"1,268,381","140,145","1,396,631",,1,,,"389,417","2,645,332","154,231"
366,vkyt,True,0.0,0.0,"64,319",,,"410,701",,,,"107,097","201,908",,"12,812","85,531",,,10,"6,384",4,137,,13,"431,014",,,"3,711,320",,"14,196",,,29,8,,1,1,,1,114,61,4,3,,,,2,"17,886",17,,916,,285,235,29,91,,,,,,,,9,"68,001","1,307,880",,"179,707",,,"1,273,457","1,255","1,388,663",,,427,,"65,754","3,119,813","49,396"
369,VintageNL,True,0.0,0.0,"6,126,143",7,5,"254,770",,,,"78,968","125,366",,460,"16,522",,,6,"5,203",3,96,,,"198,710",,,"2,591,035",,"4,562",4,1,75,9,,,,,,217,369,,19,,2,,,"12,835",32,,107,,"1,863","1,182",148,526,,,,,,,,21,"34,286","2,846,428",,"23,897",4,,"683,128","46,273","1,348,041",,4,,,"99,265","4,260,746","36,383"
372,mining_101,True,0.0,0.0,"7,061,136",135,1,"568,016",,,,"58,168","240,189",,"7,336","48,151",,,251,"22,375",20,151,,26,"596,498",,17,"4,076,271",,,1,57,88,41,,,2,7,,177,188,22,11,,4,,,"20,529",44,,745,,174,"1,881",28,84,,,,,,,,20,"68,178","2,561,173",,"114,857",,,"4,180","4,209","1,310,111",,,17,,"117,251","2,746,783","100,693"
376,juhneee,True,0.0,0.0,"7,820,926",,,"1,737,063",,,,"34,420","569,911",,"12,368","38,019",,,74,"9,296",14,134,,23,"267,055",,,"2,484,247",,,,,1,5,,29,,,,246,243,15,1,,1,,36,"14,036",33,,"1,843",,31,934,5,149,,,,,,,,30,"148,318","2,620,656",,"90,095",235,,"604,574","13,989","1,286,000",86,1,,,"110,492","3,337,561","56,040"
379,lilgogurtt,True,0.0,0.0,,3,12,"624,860",,,,"93,368","96,707",,,"21,635",,,,"9,171",4,202,,,"319,309",,,"1,143,874",,"1,451",2,,,3,,1,,,,107,87,,5,,,41,,"10,283",23,,139,"210,222",128,408,8,162,,,1,,,,,5,"83,373","2,118,007",,"219,465",14,,"58,995","36,712","1,269,033",,,,,"77,739","4,910,533","105,120"
385,D3lent3r,True,0.0,3.0,"1,447,734",91,,"832,429",,,,"1,291","102,483",,818,"11,157",,,13,"4,562",5,5,,,"116,902",,,"974,884",,,,1,,,,,,,,129,101,,3,,,,5,"5,810",16,,79,,140,720,,51,,,,,2,,,47,"28,787","2,954,322",,"31,964",8,,"1,240","1,273","1,203,300",,,,,"21,182","2,493,515","18,585"
386,vrdo,True,0.0,0.0,"26,875,410",,,"195,170",,,,"50,899","493,463",60,"1,234","40,334",,,5,"19,272",6,133,,168,"506,109",,,"5,420,565",,,,,1,37,1,,1,,,94,18,25,8,,16,,,"18,578",19,,"1,560",,364,278,239,178,,,,,,,,32,"71,049","2,386,477",,"436,273",,,"101,245","36,068","1,198,723",,,2,,"163,490","2,003,334","189,850"
391,Pampers,True,0.0,0.0,"744,481",,,"326,432",,,,"31,621","48,462",,,"12,576",,,118,"4,510",,73,,,"509,070",,,"5,722,998",,"85,809",24,3,1,,,,,,,18,8,,6,,16,,,"19,984",10,"77,341",683,,385,442,23,32,,,,,,,,24,"17,319","3,394,456",,"102,397",5,,"1,160,749","1,595","1,160,749",,4,,,"39,784","1,200,170","52,709"
395,Valuto,True,0.0,0.0,"11,012,406",49,,"126,605",,,,"113,280","168,043",,,"51,511",,,63,"12,797",,122,,45,"319,805",,,"1,718,216","2,584,649","94,032",28,26,4,37,4,,,,,226,149,32,9,,6,,,"12,173",14,"29,366",405,,481,"1,624",118,710,,,2,,1,,,5,"51,205","2,606,652",,"40,108",6,,"1,127,968","12,672","1,127,968",,,2,,"36,181","2,055,210","27,800"
396,MurphysBigBroder,True,0.0,0.0,"9,102,130",16,3,"29,541",,,,"15,458","166,891",,,"16,618",,,4,"12,364",7,135,,,"309,490",,,"1,831,645",,,,,89,3,,212,,,1,109,466,,2,,2,,,"11,212",26,,90,,42,"1,852",21,63,,,,,,,,22,"46,719","1,239,034",,"1,205",19,,"153,878","44,469","1,126,853",,,,,"39,232","3,166,235","12,288"
